Constituency,Hebrew,English,Region,VEP,Quota,Votes,Invalid,Valid,Turnout,Largest List,Margin (Blocs),אמת,ג,ודעם,טב,ל,מחל,פה,שס,Opposition Bloc,Likud Bloc,3.25%,נץ,זץ,ז,זך,י,יז,ינ,יף,יק,יר,כ,כן,נ,נז,ני,נק,ףז,ץ,ק,קי,קך,קץ,end
1,ביתר ומערב גילה,Beitar & West Gilo,1,32464,1.001097276,25714,149,25565,79.2077378,ג,-91.17324561,147,13703,23,464,235,3202,722,6852,1127,24409,830.8625,188,0,4,0,0,2,1,0,1,0,0,1,1,8,1,0,1,1,1,0,0,7,end
2,הקסטל,Qastel,1,33248,1.025273602,23087,118,22969,69.43876323,מחל,6.080195684,1942,1899,3367,810,445,6586,6389,1349,12143,10751,746.4925,107,0,15,0,0,2,8,1,4,3,1,3,7,2,0,4,3,2,5,2,3,10,end
3,י-ם אצטדיון טדי,J'lem Teddy Stadium,1,31307,0.965418692,21611,109,21502,69.02929057,מחל,-60.71478561,752,4493,95,1778,505,6599,2858,4253,4210,17223,698.815,100,0,15,3,2,1,0,0,1,1,1,3,14,1,1,2,6,3,1,3,4,7,end
4,י-ם גן העצמאות,J'lem Independence Park,1,31938,0.984876934,17041,64,16977,53.35650322,מחל,-13.23773406,2520,1510,517,2069,267,4796,4017,1065,7321,9555,551.7525,115,0,26,2,0,2,0,1,7,1,10,1,26,4,1,0,10,1,4,0,2,3,end
5,י-ם הבריח,J'lem Collar,1,31551,0.972942957,18262,159,18103,57.88089126,ג,-91.69615215,176,9539,77,353,66,1582,432,5754,751,17337,588.3475,109,0,3,0,0,0,0,0,0,1,1,0,3,1,0,0,3,0,1,0,0,2,end
6,י-ם יפה נוף,J'lem Yefe Nof,1,32446,1.000542207,22488,114,22374,69.30900573,ג,-32.78974956,2158,5540,209,2017,397,4248,4737,2867,7501,14820,727.155,148,0,19,0,0,1,1,0,1,0,0,0,12,0,2,0,5,1,0,3,0,8,end
7,י-ם עיר גנים,J'lem Garden City,1,32743,1.009700841,20943,101,20842,63.96176282,מחל,-30.70327553,1744,1441,188,1428,919,8056,4342,2517,7193,13567,677.365,125,0,20,0,2,1,0,1,4,1,2,6,10,5,6,0,10,1,3,0,4,6,end
8,י-ם ענניה,J'lem Ananyah,1,33530,1.033969679,23864,215,23649,71.1720847,ג,-85.47164217,178,10094,105,862,382,4906,1050,5866,1715,21894,768.5925,166,0,3,0,1,0,0,1,7,0,1,1,10,5,0,0,4,1,1,0,2,3,end
9,י-ם פסגת זאב,J'lem Pisgat Zeev,1,31053,0.957586055,21477,87,21390,69.16239977,מחל,-52.66982326,515,698,127,1576,1707,10705,2699,3123,5048,16283,695.175,181,0,17,0,1,1,0,1,2,1,6,1,8,1,0,1,3,0,2,1,2,11,end
10,י-ם קבר רחל,J'lem Rachel's Tomb,1,34085,1.051084298,23005,89,22916,67.49303213,מחל,-54.0814091,514,1127,1574,2058,707,11240,2445,2998,5240,17583,744.77,160,0,9,1,0,0,0,1,3,1,1,4,12,2,2,2,2,3,5,1,0,3,end
11,י-ם קטמון,J'lem Katamon,1,33371,1.029066572,20997,95,20902,62.91990051,מחל,-24.89288981,2308,489,406,3629,288,7638,4799,1097,7801,12972,679.315,119,0,22,1,1,2,0,1,4,0,11,4,48,5,1,4,14,2,2,2,4,1,end
12,י-ם רוממה,J'lem Romema,1,32471,1.001313136,22782,163,22619,70.1610668,ג,-97.8573642,62,14506,10,1486,19,1519,151,4656,242,22347,735.1175,180,0,4,0,0,1,0,0,0,1,2,0,5,1,1,0,2,0,0,2,0,11,end
13,י-ם רמות,J'lem Ramot,1,32393,0.998907838,24785,206,24579,76.51344426,ג,-89.52132431,226,10762,15,1421,122,3454,922,7454,1285,23241,798.8175,150,0,14,0,1,1,0,0,0,1,1,0,6,1,1,0,10,3,0,0,3,11,end
14,י-ם שערים,J'lem Walls,1,32535,1.003286713,12323,123,12200,37.87613339,ג,-66.34038003,190,4912,1448,727,48,1257,360,3087,2046,10111,396.5,128,0,1,2,0,0,5,2,1,2,3,2,4,3,1,1,0,0,2,2,6,4,end
15,י-ם תלפיות,J'lem Talpiot,1,30884,0.952374577,18063,98,17965,58.486595,מחל,-17.71236333,1694,243,467,1653,670,7436,4507,1053,7338,10497,583.8625,112,0,22,0,1,2,3,0,12,1,13,3,31,11,4,2,8,3,0,4,3,6,end
16,מטה יהודה,Mateh Judea,1,31871,0.982810845,23925,71,23854,75.06824386,מחל,-4.67093082,3032,234,325,1757,578,8949,7392,1394,11327,12437,775.255,103,0,21,1,0,0,0,0,6,1,7,2,23,2,1,1,9,5,1,3,3,4,end
17,מעלה אדומים והר הצופים,Maale Edomim & Mt. Scopus,1,31289,0.964863623,21856,102,21754,69.85202467,מחל,-57.29911848,578,528,103,2426,1195,12263,2750,1645,4626,17041,707.005,179,0,15,1,1,0,0,0,7,1,9,1,25,5,0,2,5,0,3,1,2,9,end
